"respondent","a1b","a1c","a1d","a1e","a1f","a1g","a1i","a1j","a1k","a1l","a1m","a1n","a1p","a1q","a1r","a1s","a1t","a1u","a1w","a1x","a1y","a1z","a2a"
"5.253949100835232","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"5.289898515629258","0","0","98","2","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","1"
"5.303938037335429","0","1","2","0","0","0","1","98","98","98","98","0","0","0","0","1","1","0","0","1","0","0","1"
"5.486966473565635","0","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"5.824951019052252","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"6.038738875063332","0","0","98","1","0","0","0","1","0","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"6.195841528618142","0","1","1","1","0","0","0","2","1","0","0","0","0","0","1","98","1","0","0","1","0","0","0"
"6.199145702334688","0","2","2","1","0","0","0","2","2","1","0","0","0","0","1","98","2","1","0","2","2","0","1"
"6.349482043454007","0","2","1","2","0","0","0","4","2","1","0","0","0","0","0","2","2","1","0","3","3","0","2"
"6.414370709762553","0","1","0","1","0","0","0","1","2","1","0","0","0","0","1","98","1","0","0","1","1","0","1"
"6.519276803455788","0","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"6.554536831110147","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"6.585459648144509","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"6.628470789094148","0","2","1","2","0","0","0","4","3","1","0","0","0","0","0","2","3","1","0","3","2","0","99"
"6.846221330469098","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"6.929562212708964","0","0","98","2","0","0","0","3","2","0","0","0","0","0","0","2","2","0","0","0","0","0","1"
"6.998207325573482","0","0","98","1","0","0","0","3","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0"
"7.075690007086808","0","1","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"7.2076699477433355","0","1","1","1","0","0","0","0","1","1","0","0","0","0","1","98","1","0","0","1","0","0","0"
"7.213750254940795","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"7.5140163591421505","0","1","98","3","0","0","0","4","2","2","0","0","0","1","0","2","3","1","0","3","1","0","2"
"7.65528328106578","0","2","2","3","0","0","0","5","3","1","0","0","0","1","0","2","4","1","0","2","3","0","2"
"7.751315367656936","0","2","3","3","0","0","0","3","2","2","0","0","0","1","0","2","3","1","1","98","3","0","2"
"8.021864466361993","0","2","1","2","0","0","0","3","2","1","0","0","0","0","0","2","3","1","0","2","1","0","2"
"8.373965495073982","0","0","98","1","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"8.784224750916573","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"8.896847857226895","0","2","1","5","1","1","0","4","3","1","0","0","0","1","0","1","5","1","0","1","1","0","3"
"8.973067110596867","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"9.11839070430371","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"9.23637486588413","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"9.25680895631941","0","99","1","1","0","0","0","2","1","0","0","0","0","1","0","2","1","0","1","98","1","99","1"
"9.477602981098341","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"9.637903191386474","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"9.688092734523561","0","2","2","1","0","0","0","4","2","1","0","0","0","0","1","98","1","1","0","1","2","0","2"
"9.697256928568107","0","2","1","2","0","0","0","4","2","1","0","0","1","0","1","98","3","1","0","99","1","99","2"
"9.828067939304892","0","1","1","0","0","0","0","3","0","1","0","0","1","0","1","98","1","0","0","1","1","0","1"
"10.036563211506794","0","1","0","1","0","0","0","2","0","1","0","0","0","0","1","98","1","0","0","0","0","0","2"
"10.063688488147786","1","0","98","0","0","1","1","98","98","98","98","1","1","1","0","2","4","2","1","98","4","0","2"
"10.155441750017491","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"10.211706483070454","0","2","1","1","0","0","0","2","1","2","0","0","0","0","0","2","3","1","0","2","1","0","2"
"10.353178653564315","0","1","0","1","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","1","0","99","0"
"10.428116329308512","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"10.542730192540054","0","2","1","1","0","0","0","2","1","1","0","0","0","0","0","1","2","1","0","1","1","0","1"
"10.574473519797426","0","2","2","1","0","0","0","1","2","1","0","0","0","1","1","98","3","1","0","1","1","0","1"
"10.579334735978787","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"10.73207313242782","0","99","0","0","0","0","0","1","1","0","0","0","0","0","0","2","1","0","1","98","1","99","2"
"10.750863605926659","0","1","98","3","0","0","0","4","3","1","0","0","0","0","0","2","3","1","0","2","3","0","3"
